,标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
0,庆余年·贰,猫腻 / 2008 / 中国友谊出版公司,8.1,https://book.douban.com/subject/3165135/,2023-07-07 21:57:12,5.0,,,public
1,人类简史,[以色列] 尤瓦尔·赫拉利 / 2014 / 中信出版社,9.1,https://book.douban.com/subject/25985021/,2023-07-07 21:56:52,5.0,,,public
2,第七天,余华 / 2018 / 新星出版社,8.1,https://book.douban.com/subject/30259153/,2023-07-07 21:56:08,4.0,,,public
3,上帝掷骰子吗,曹天元 / 2006 / 辽宁教育出版社,9.2,https://book.douban.com/subject/1467022/,2023-07-07 21:55:54,4.0,,,public
4,武极天下1-2册套装,2014 / 黑龙江出版社,6.2,https://book.douban.com/subject/26115888/,2023-07-07 21:55:35,5.0,,,public
5,人民的名义,周梅森 / 2017 / 北京十月文艺出版社,7.3,https://book.douban.com/subject/26952485/,2023-07-07 21:54:54,5.0,,,public
6,乡村教师,刘慈欣 / 2012 / 长江文艺出版社,8.4,https://book.douban.com/subject/35947257/,2023-07-07 21:54:33,5.0,,,public
7,论人类不平等的起源和基础,［法］让-雅克·卢梭 / 2015 / 浙江文艺出版社,8.4,https://book.douban.com/subject/26337444/,2023-07-07 21:54:15,5.0,,,public
8,环太平洋,阿历克斯·欧文 / 2014 / 北京联合出版公司,7.2,https://book.douban.com/subject/25976333/,2023-07-07 21:53:26,4.0,,,public
9,缥缈·天咫卷,白姬绾 / 2018,8.3,https://book.douban.com/subject/35236120/,2023-07-07 21:52:56,5.0,,,public
10,缥缈·燃犀卷,白姬绾 / 2019,8.5,https://book.douban.com/subject/35236945/,2023-07-07 21:52:51,5.0,,,public
11,缥缈·阎浮卷,白姬绾 / 2018 / 武汉大学出版社,8.3,https://book.douban.com/subject/35236944/,2023-07-07 21:52:48,5.0,,,public
12,缥缈·鬼面卷,白姬绾 / 2012 / 南方日报出版社,8.4,https://book.douban.com/subject/11444474/,2023-07-07 21:52:41,5.0,,,public
13,缥缈·提灯卷,白姬绾 / 2011 / 新世纪出版社,8.4,https://book.douban.com/subject/6890100/,2023-07-07 21:52:34,,,,public
14,光明之子-神印王座-I,唐家三少 / 2011 / 山东画报出版社,6.6,https://book.douban.com/subject/7163389/,2023-07-07 21:51:54,4.0,,,public
15,朝闻道,刘慈欣 / 2018 / 江苏凤凰文艺出版社,8.6,https://book.douban.com/subject/27191786/,2023-07-07 21:51:09,5.0,,,public
16,山,刘慈欣 Rubén Pellejero / 2021 / 中信出版集团,8.4,https://book.douban.com/subject/35596032/,2023-07-07 21:50:52,5.0,,,public
17,剑来1：少年起微末,烽火戏诸侯 / 2020 / 浙江文艺出版社,7.3,https://book.douban.com/subject/35022388/,2023-07-07 21:50:20,5.0,,,public
18,天空之蜂,〔日〕东野圭吾 / 2015 / 南海出版公司,6.6,https://book.douban.com/subject/26264953/,2023-07-07 11:36:30,3.0,,,public
19,球状闪电,刘慈欣 / 2005 / 四川科学技术出版社,8.7,https://book.douban.com/subject/1192090/,2023-07-07 10:58:22,5.0,,,public
20,全球通史(上),[美]斯塔夫里阿诺斯 / 2006 / 北京大学出版社,9.2,https://book.douban.com/subject/1922216/,2023-07-07 10:58:13,5.0,,,public
21,时间简史,[英] 史蒂芬·霍金 / 2010 / 湖南科学技术出版社,8.9,https://book.douban.com/subject/1034282/,2023-07-07 10:57:54,5.0,,,public
22,看见,柴静 / 2013 / 广西师范大学出版社,8.8,https://book.douban.com/subject/20427187/,2023-07-07 10:55:06,5.0,,,public
23,飘,[美国] 玛格丽特·米切尔 / 2000 / 译林出版社,9.3,https://book.douban.com/subject/1068920/,2023-07-07 10:52:24,4.0,,,public
24,三体全集,刘慈欣 / 2012 / 重庆出版社,9.5,https://book.douban.com/subject/6518605/,2023-07-07 10:52:15,5.0,,,public
25,房思琪的初恋乐园,林奕含 / 2018 / 北京联合出版公司,9.2,https://book.douban.com/subject/27614904/,2023-06-27 12:58:30,4.0,,,public
26,动物农场,[英]乔治·奥威尔 / 2010 / 上海译文出版社,9.5,https://book.douban.com/subject/4908879/,2023-06-27 12:58:15,5.0,,,public
27,撒哈拉的故事,三毛 / 2003 / 哈尔滨出版社,9.2,https://book.douban.com/subject/1060068/,2023-06-27 12:57:40,5.0,,,public
28,小王子,[法] 圣埃克苏佩里 / 2003 / 人民文学出版社,9.1,https://book.douban.com/subject/1084336/,2023-02-01 17:50:11,5.0,,,public
29,白夜行,[日] 东野圭吾 / 2013 / 南海出版公司,9.2,https://book.douban.com/subject/10554308/,2023-01-08 08:21:40,5.0,,,public
30,万历十五年,[美] 黄仁宇 / 1997 / 生活·读书·新知三联书店,9.0,https://book.douban.com/subject/1041482/,2022-02-17 16:55:35,4.0,,,public
31,百年孤独,[哥伦比亚] 加西亚·马尔克斯 / 2011 / 南海出版公司,9.3,https://book.douban.com/subject/6082808/,2022-01-28 10:27:56,5.0,,,public
32,活着,余华 / 2012 / 作家出版社,9.4,https://book.douban.com/subject/4913064/,2022-01-02 12:53:40,5.0,,,public
33,流浪地球,刘慈欣 / 2008 / 长江文艺出版社,8.4,https://book.douban.com/subject/3266609/,2021-01-22 08:58:50,4.0,,,public
34,明朝那些事儿（1-9）,当年明月 / 2009 / 中国海关出版社,9.2,https://book.douban.com/subject/3674537/,2021-01-22 08:57:59,5.0,,,public
35,龙族Ⅳ,江南 / 2015 / 长江出版社,7.1,https://book.douban.com/subject/26647621/,2021-01-22 00:03:17,4.0,,,public
36,龙族Ⅲ,江南 / 2013 / 长江出版社,8.4,https://book.douban.com/subject/25825717/,2021-01-22 00:03:08,5.0,,,public
37,龙族Ⅱ,江南 / 2011 / 长江出版社,8.1,https://book.douban.com/subject/6434543/,2021-01-22 00:02:17,5.0,,,public
38,龙族Ⅰ,江南 / 2010 / 长江出版社,7.7,https://book.douban.com/subject/4737329/,2021-01-22 00:02:09,5.0,,,public
39,缥缈,白姬绾 / 2020 / 青岛出版社,8.4,https://book.douban.com/subject/35093310/,2021-01-22 00:01:49,5.0,,,public
40,三个火枪手,大仲马 / 1996 / 上海译文出版社,8.3,https://book.douban.com/subject/1203244/,2021-01-21 23:52:07,,,,public
41,乌合之众,[法] 古斯塔夫·勒庞 / 2011 / 中央编译出版社,8.1,https://book.douban.com/subject/1012611/,2021-01-21 23:52:02,,,,public
42,基督山伯爵,[法国] 大仲马 / 1991 / 上海译文出版社,9.1,https://book.douban.com/subject/1085860/,2021-01-21 23:51:21,5.0,,,public
